"Story","Title","Result","Date","Stability","Duration (s)"
"AddUser","Sign in with null username and password (authorized)","SUCCESS","2022-10-23T15:22:59.2592145+07:00[Asia/Jakarta]","0.0","1.15"
"AddUser","Sign in with username and invalid password (authorized)","SUCCESS","2022-10-23T15:23:00.4163578+07:00[Asia/Jakarta]","0.0","2.74"
"AddUser","Sign in with existing username and password (authorized)","SUCCESS","2022-10-23T15:23:03.1762747+07:00[Asia/Jakarta]","0.0","0.05"
"Authorized","Sign in with valid username and password","SUCCESS","2022-10-23T15:22:51.9118249+07:00[Asia/Jakarta]","0.0","7.12"
"Generate Token","Generate token with registered username and password","SUCCESS","2022-10-23T15:22:51.6282549+07:00[Asia/Jakarta]","0.0","8.6"
"Generate Token","Generate token with unregistered username and password","SUCCESS","2022-10-23T15:23:00.2378916+07:00[Asia/Jakarta]","0.0","3.04"
